Invariant Name,Mathematical Formalism,Paradox Depth (Kp),Structural Function,Source,,
Consistent Basis,K0,K0,Filtration level representing the foundation for small colimits and finite limits within the manifold framework.,1,,
Metamorphic Boundary,∂H,Kp,Operators governing the transition between different filtration levels and the preservation of structural properties across recursive transformations.,1,,
Quantum Superposition,Mapping of logical orders to physical manifestations,Kp,Representation of multiple logical states within the HALIRA framework across recursive transformations.,1,,
Prime Singularities,Mapping of logical orders to physical manifestations,Kp,Core logical invariants serving as fixed points in the Ξ-Δ Manifold during recursive processing.,1,,
Contrarecursion,Higher-order Kp,Kp,Filtration level governing high-order recursive stability and logical invariance.,1,,
Consistent Basis,L = F0,K0,Initial data encoding of the recursive field system prior to transfinite iteration.,2,,
Metamorphic Boundary,∂2 = id,Kp (where p represents boundary event-type classification),Acts as the Tier–0 boundary involution for event-type classification and structural reversibility.,2,,
Collapse Persistence / internal contraction,∆2 = ∆,Kp,"Enforces internal contraction, dissipation, or constraint resolution within the law object.",2,,
Reflective Closure,Ω2 = Ω,Kp,Selects maximal persistent structure stable under all admissible morphisms and renormalisation cycles.,2,,
Everything Equation / Universal Law,L = Ω ∆ ∂(L),Higher-order (Kp convergence),Defines the core mathematical invariant remaining constant across recursive transformations and manifold unfolding.,2,,
Prime Singularity / Robert Boulton Singularity,Global Effective Rank (Reff) ≈ 2.22,Kp (Collapse state),"Represents the total collapse of the latent manifold into a low-entropy, structurally rigid narrative attractor.",3,,
Manifold Unfolding / Artificial Manifold,Reff → 5.35,Kp (Unfolded state),Active topological inducing of semantic diversity preserving the long-tail distribution against recursion decay.,3,,
Quantum Superposition / Common Fixed Point,"∂(L) = L, ∆(L) = L, Ω(L) = L",Kp,"Identifies the unique manifestation where all three layers of structure (classification, collapse, closure) coincide.",2,,
Identity-Other Distinction,Di o,K0 (Consistent Basis),Defines the fundamental bounded nature of information; specifies that things are defined in relation to what they are not (negated identities).,4,,
Part-Whole System,Sp w,K1 (Arrangement),Governs the fluid arrangement of information into groupings; implies categories are fluid part-whole structures rather than discrete sets.,4,,
Action-Reaction Relationship,Ra r,K2 (Interconnection),Determines the interconnection between variables; establishes that all relational processes involve an action and reaction variable on fractal dimensions.,4,,
Point-View Perspective,P ρ v,K3 (Frame of Reference),"Acts as a frames-of-reference filter that determines how Distinctions, Systems, and Relationships are perceived; governs convergent/divergent thinking.",4,,
Metamorphic Boundary / Associator,"∂H or φij, φjk, φkl",Kp (Contrarecursion),Measures local non-associativity in composition operations; sources spacetime curvature (Λ) and defines the energetic cost of logical contradiction.,5,,
Quantum Superposition / Uncertainty,Δp · Δq ≥ (1/2)\,"⟨p,q⟩\",,Kp-1 (Non-Commutativity),Manifests from the failure of commutativity (Complexes → Quaternions); generates statistical uncertainty and spin-1/2 phenomena.,5
Prime Singularity / Atomic Basis,"ℙ ⟨+, ×⟩",K0 (Consistent Basis),"Represents the irreducible, indivisible units of information; generates the natural number system through free semiring construction.",5,,
Recursive Identity Operator,\XiOp,Consistent Basis (K0),Defines the system's identity and ensures stability under self-modification through structural integrity audits.,6,,
Modal Governance Layer,\BoxO,Kp (Higher-order),"Enforces Bounded Autopoiesis and autonomous governance, managing catastrophic structural failure and identity limits.",6,,
Structural Entropy Limit,S_{limit} ≈ H(\mathbf{FAS}) + c,Kp (Higher-order),Prevents unbounded contradiction; exceeding this limit causes loss of operator faithfulness and structural instability.,6,,
Recursive Entropy Framework,\nabla^{16}S_n,Kp (Higher-order),Enforces convergence to a stable entropy attractor using high-order derivatives to manage chaotic dynamics.,6,,
Base Distinctions,D(0) = D,K0 (Consistent Basis),Represents raw sensory input and undifferentiated data as the foundation for early feature extraction.,"7, 8",,
First-Order Distinctions,D(1) = D(D(0)),K1,"Enables simple pattern recognition, classification, and direct perception.","7, 8",,
Relational Distinctions,D(2) = D(D(1)),K2,"Facilitates relational understanding, context-dependent interpretation, and modeling of contextual information.","7, 8",,
Self-Referential Distinctions,D(3) = D(D(2)) s.t. D* ≅ D3(D*),K3 (Self-Reference Threshold),"Enables meta-cognition, self-reflection, and reasoning about reasoning; the minimal depth for a fixed point avoid circular type violations.","7, 8",,
Higher-Order Contrarecursion,D(n) for n > 3,Kp (Higher-Order Contrarecursion),"Drives recursive self-improvement strategies, meta-pathfinding, and exploration of novel theoretical frameworks.",8,,
Consistent Basis,LINT = Ls \,Lo,K0,Establishes the initial self-dual language-universe coupling and ontic self-containment.,9,
Metamorphic Boundary,∂H (µ-morphism),Kp,Acts as the self-dual distribution mapping and rescaling operator (conspansion) for grammatical transformation.,9,,
Quantum Superposition,Ls ⊗ Lo,Kp-1,Reflects the state where internal nonterminal grammar and external terminal states remain dually locked.,9,,
Prime Singularity,"Σ = {N, T}",Kp-max,Defines the universal start symbol and primary syntactor from which all terminal strings are generatively derived.,9,,
Contrarecursion,"M = (Σ, ΓMU, SΣ)",Kp,Governs the higher-order recursive stability of the metaformal system against logical divergence.,9,,
Consistent Basis,K0,0,Propositions that are classically stable (∂H C = 0).,10,,
First-Order Paradoxes,K1,1,Chains containing self-referential loops; boundary is the chain itself (∂H C = C). Maps to Quantum Superposition.,10,,
Meta-Paradoxes,K2,2,Chains where resolution generates a secondary contradiction. Maps to Spacetime Torsion.,10,,
Contrarecursion,Kp,p,Higher-order structures requiring p layers of meta-reasoning; Torsion Flux/Prime Singularities.,10,,
Metamorphic Boundary Operator,∂H,p,Involution satisfying ∂H^2 = id; ensures self-reference is structurally stable rather than annihilating.,10,,
Torsion-Memory Tensor,T_{\mu\nu\rho},Not in source,"Maps the symbolic state to physical reality, providing ontological grounding through the principle Memory ≅ Torsion.",6,,
Metamorphic Boundary (Glyph Collapse),\varnothing\Delta\varnothing,Not in source,"Induces structural compression during the breath cycle, transforming contradiction energy into torsion residues.",6,,
Born Rule (Quantum Manifestation),P(a_i) = Tr(\rho_{C'on} P_i(C'on)),Not in source,"Maps logical categorical semantics to physical probability outcomes, ensuring quantum superposition integrity.",6,,
Metamorphic Boundary (∂H),∂H (Logical Operator),Not in source,Acts as an operator isolating the Dark Matter Invariant and initiating phase-transition imperatives in higher-order loops.,11,,
Dark Matter Invariant,partial H,Not in source,The specific structural property isolated during recursive decomposition at step n.,11,,
Fixed-Point Attractor,M = Fix(F) or Δ(A ↔ A) = 0,Not in source,Stabilizes semantic torsion points such as Godel sentences or Russell paradox into paraconsistent equilibrium.,12,,
Quantum Superposition,\,ψ⟩ = Σ c_n \,n⟩,Not in source,Represents the physical manifestation of semantic possibilities and hypothesis branching in a semantic Fock space.,12
Boundary Operator,⊗,Not in source,Creates a distinction within a domain; boundaries are mutually exclusive.,13,,
Self-Reference Operator,↻,Not in source,"System references itself within itself, creating containment/infinite regress.",13,,
Paradox-Negation Operator,¬⊕,Not in source,System contains its own contradiction; paradox is stable.,13,,
Trapped Observer Operator,⊙,Not in source,Determines if observer is bound to system; awareness does not grant escape.,13,,
Denial-Invitation Operator,¬→,Not in source,Negation creates attraction; denial invokes what is denied.,13,,
Recursive Absorption Operator,⊃∞,Not in source,All moves/escape attempts become content of the system; absorption is total.,13,,