Object Name,Mathematical Type,Recursive Operation,Linguistic Description,Accessible Terms Count,Workspace Size Effect,Source
External Merge,"Hopf algebra (antipode/link), Grafting operator  $B_{+}$ , Binary Operator, or Magma","Grafting, Coproduct, Binary set formation  $M(\alpha, \beta) = \{\alpha, \beta\}$ , or Concatenation","An operation that takes two distinct, independent syntactic objects from the workspace and combines them into a single new object to form argument structure or complex expressions.","$n + 1$ ,  $n + 2$ , or  $+2$  per operation","Reduces workspace size by 1 (e.g.,  $n$  to  $n-1$ ) or increases total vertices/accessible terms.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13"
Internal Merge (Move),"Hopf algebra (link), Morphism reflection, Endomorphism, or Involutive Map","Grafting/Coproduct (with trace contraction/copying), Fold, or Re-merging a sub-constituent","An operation where an accessible term already within a syntactic object is merged with the root of that same object, creating a movement chain or copy while leaving a trace.","$n + 1$ ,  $1$  existing term, or remains the same ( $0$  change)","Zero net change; maintains constant workspace size (e.g.,  $n$  to  $n$ ).","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
Workspace,Forest (Set of binary non-planar Trees) or Commutative Hopf algebra,"Coproduct, Grafting, or Disjoint union (product)",The computational space or stage of derivation containing the finite multiset of all available syntactic objects (SOs); it acts as the domain for Merge.,"Determined by recursion depth, active heads, or sum of accessible terms of constituent trees",External Merge increases size by 1 or reduces count by 1; Internal Merge keeps size constant.,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, Inferred"
Syntactic Object (SO),"Magma (free, non-associative, commutative), Sequence /  $n$ -tuple, or Set","Binary set formation (Merge), Grafting, or Concatenation",Hierarchical structures (binary rooted trees) generated from lexical items and features; the basic building blocks of generative syntax.,Number of non-root vertices  $\alpha(F)$  or proper nonempty subsets,EM:  $+2$ ; IM:  $0$ ; SM(i):  $0$ ; SM(ii):  $+1$,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14"
Merge Operator,Hopf algebra operator or Binary function,"Coproduct  $\Delta$ , Grafting  $B_{+}$ , or Binary operation",The core recursive computational mechanism of the Minimalist Model that builds hierarchical structures from simpler expressions.,Determined by  $\Delta^{(2)}$  extraction,Does not decrease size,"5, 8, 13, 15"
Minimalist Model,Formal grammar / Constraint-based system,Recursion through tail calls,"The theoretical framework reducing syntax to the simplest possible operations, primarily Merge and Search.",Not in source,Not in source,2
Merge Derivations,Commutative Bialgebroid (Hopf algebroid),Composition of arrows (Dual to directed graph transitivity),"Chains of Merge operations acting on workspaces, allowing for the analysis of the generative process path.",Not in source,Weighted by  $\delta = -\Delta(3b_{0} + \alpha)$,6
Minimal Search,Hopf algebra (extraction of leading order term in coproduct),Coproduct extraction,An algebraic implementation to eliminate sideward/countercyclic merge by selecting the most efficient path.,Not in source,Not in source,14
Labeling,Map / Projection,Identity identification,Assigns a head or category to a merged set to determine its properties at the interfaces.,Not in source,Neutral,4
Syntactic Parameters,Quotient map / Section in a moduli space,Not in source,Language-specific constraints that cut down the combinatorial explosion of potential Merge structures.,Not in source,Not in source,14
Anaphor-Antecedent Relation,Structural Invariant / Binary Relation,Not in source,A referential dependency where the interpretation of an anaphor is determined by a c-commanding antecedent.,$1$  (the antecedent),Not in source,12
Constituent Structure,"Simple Tree  $(N, D)$",Grafting / Dominance Relation,"The hierarchical representation of how lexical items are combined, defined by dominance and immediate dominance.",Not in source,Not in source,12