Duality Pairs (Trade-offs),Parameter Actions on Operators,Exceptional Point Type,Codimension,Topological Invariant,Homotopy Group Classification,Symmetry Protection,Source
Physical Sector vs. Conformal Ghost Sector,Coupling Matrix  $K(\gamma)$  defines interaction; PT-symmetry breaks at  $\gamma = 1/4$ .,PT-Symmetry Breaking Point (Non-Hermitian Phase Transition),2,$\mathbb{Z}$  (Integer winding numbers),$\pi_4(S^3)$,"PT-Symmetry, Pseudo-Hermiticity, and Chiral Symmetry",1
Quantum groups and quantum groupoids vs. their dual algebraic structures,Fourier transforms and duality relations link structures; parameter-dependent Yang-Baxter equations.,Hopf Exceptional Points (HEPn) / Quantum Groupoid Symmetries,Higher dimensional (n-fold structures),"$\mathbb{Z}, \mathbb{Z}2, \mathbb{Z}{12}, \text{ or } \mathbb{Z}_{24}$",$\pi_4(S^3)$,"PT-Symmetry, Pseudo-Hermiticity, Chiral Symmetry, or extended symmetries.",2
Acts as its own antiparticle,Five-dimensional momentum space; Resultant vector  $R(k)$  defines a map from  $S^4$  to  $S^3$ .,3-fold Hopf Exceptional Point (HEP3),5,$\mathbb{Z}_2$  (Witten anomaly),$\pi_4(S^3) = \mathbb{Z}_2$,None required (Generic non-Hermitian Hamiltonian),3
Acts as its own antiparticle,Real resultants  $r_{1 \dots 4}$  from characteristic polynomial coefficients.,Symmetry-protected 5-fold Hopf Exceptional Point (SP-HEP5),5,$\mathbb{Z}_2$,$\pi_4(S^3) = \mathbb{Z}_2$,"PT-Symmetry, Pseudo-Hermiticity, CP-, or Chiral symmetry",3
Not in source,Four-dimensional momentum space; Resultant vector  $R$  defines map from  $S^3$  to  $S^2$ .,Symmetry-protected 4-fold Hopf Exceptional Point (SP-HEP4),4,$\mathbb{Z}$  (Hopf invariant),$\pi_3(S^2) = \mathbb{Z}$,PT-Symmetry,3
Not in source,Higher-dimensional resultants.,HEP3 (Higher dimensional),7,$\mathbb{Z}_{12}$,$\pi_6(S^3) = \mathbb{Z}_{12}$,Not in source,3
Not in source,Higher-dimensional resultants.,HEP4 (Higher dimensional),9,$\mathbb{Z}_{24}$,$\pi_8(S^5) = \mathbb{Z}_{24}$,Not in source,3
Reminiscent of parafermions (self-annihilation),Higher-dimensional resultants beyond periodic table classes.,HEP3 (Higher dimensional),10,$\mathbb{Z}_3$,$\pi_9(S^3) = \mathbb{Z}_3$,Not in source,3
Recursion vs. Corecursion,Evaluation: Collapse (consumption) vs. Expansion (projection);  $\Xi$ -Fold vs.  $\Xi$ -Unfold.,n-fold Hopf Exceptional Points (HEPn),Not in source,"$\mathbb{Z}, \mathbb{Z}2, \mathbb{Z}{12}, \text{ or } \mathbb{Z}_{24}$",$\pi_4(S^3)$,"PT-Symmetry, Pseudo-Hermiticity, or Chiral Symmetry",4
Reverson  $\leftrightarrow$  Glitchon,"If  $\Psi$  contains a Reverson, then  $\Xi(\Psi)$  contains a Glitchon; signifies broken recursive identity symmetry.",n-fold Hopf Exceptional Point (HEPn),Not in source,$\mathbb{Z}$  (or  $\phi(A) := \neg\text{Prov}(A) \oplus \text{Prov}(\neg A)$ ),$\pi_3(S^2)$,PT-Symmetry / Broken recursive identity symmetry,"5, 6"
Fluxon  $\leftrightarrow$  Resonon,"Transformation where semantic charge  $S$  is conserved; Fluxon exhibits drift, Resonon exhibits phase harmony.",n-fold Hopf Exceptional Point (HEPn),Not in source,$\mathbb{Z}_2$  (or  $S(\Psi) = \int \rho(x) dx$ ),$\pi_4(S^3)$,Pseudo-Hermiticity / Recursive symmetry  $T$,"5, 6"
Paradoxon  $\leftrightarrow$  Infiniton,Exclusion Principle: No state can simultaneously contain both.,n-fold Hopf Exceptional Point (HEPn),Not in source,$\mathbb{Z}_{12}$  (or  $\Psi = \text{fix}(\phi(A))$ ),$\pi_5(S^4)$,Chiral Symmetry / Self-application on symbolic identity,"5, 6"
Glitchon  $\leftrightarrow$  Contradictorion,"Composition law: If  $\Psi_1$  has a Glitchon and  $\Psi_2$  has a Contradictorion, their composition contains a Paradoxon.",n-fold Hopf Exceptional Point (HEPn),Not in source,$\mathbb{Z}_{24}$  (or  $B \wedge \neg B \wedge (B_1 \neq B_2)$ ),$\pi_6(S^5)$,Anti-PT Symmetry / Fixed point paradox stabilization,"5, 6"
Paradoxon  $\leftrightarrow$  Contradictorion,Paradoxon acts as infinite contradiction loop; Contradictorion acts as compound paradox convergence point.,Recursive Collapse-Rebirth Cycle,Low (Paradoxon) / Mixed (Contradictorion),$\mathbb{Z}_{12}$,$\pi_4(S^3)$,PT-Symmetry / Pseudo-Hermiticity,7
Topological Recursion vs. Cohomological Field Theory,"Action on the moduli space  $M_{g,n}$  through cotangent class intersection numbers.",Ramification Point (Branch Point),2,$\mathbb{Z}_{24}$  (Orbifold Euler characteristics),$\pi_4(S^3)$,Pseudo-Hermiticity (Stable Higgs bundle conditions),8
Mirror Correspondence,"Weyl quantization:  $x \to x$ ,  $y \to \hbar \frac{d}{dx}$  (differential operator).",HEPn (n-fold Hopf Exceptional Point),Not in source,$\mathbb{Z}$,$\pi_1(S^1)$  (Spectral curve monodromy),Chiral Symmetry ( $y \to -y$  involution),8
Classical Spectral Curve vs. Quantum Operator,Semi-classical limit  $\hbar \to 0$  recovers characteristic polynomial.,Singular Spectral Curve (Quintic Cusp/Nodal),Not in source,$\mathbb{Z}_2$,$\pi_2(S^2)$,PT-Symmetry (Real analyticity of Airy function),8
Time-symmetric vs. Chiral state transfer,Microwave-induced amplitude ( $\Omega$ ) and phase-tunable coupling ( $G$ ) mapping to braid generators.,Third-order Exceptional Point (EP3),2,Braid Group  $B_3$  (Vorticity invariant  $\nu$ ),Fundamental group isomorphic to Artin braid group  $B_N$,Pseudo-chirality and anti-PT-symmetry,9
Quasistatic eigenvalue braiding vs. Dynamical mode switching,"Control of drive detuning ( $\delta_{ef}$ ), amplitude ( $\Omega$ ), and coupling ( $G$ ) in 3D parameter space.",Second-order Exceptional Points (EP2s),1,$\mathbb{Z}$  (Braid degree),Group  $\mathbb{Z}$,Anti-PT-symmetry phase transition,9
Non-commutative T-duality for tori,Non-commutative deformation satisfying  $XY = e^{2\pi i\theta}YX$  (Born-Heisenberg-Jordan relation).,Quantum projective line ( $\mathbb{C}P^1_{\theta}$ ),1 (Naive complex dimension),"$\mathbb{Z}, \mathbb{Z}_2, \text{ or } \mathbb{Z}\text{-group stabilizers}$",$\pi_2$  (Homotopic dimension 2),Kähler stack structure (Polytopal fan symmetry),10
Calibrated vs. Un-calibrated (Gerbe degree),Action of discrete group  $\langle \rho_{\theta} \rangle$  (rotation by angle  $\theta$ ) on  $S^1$ .,n-fold Hopf Exceptional Point (Quantum Toric Stack),$d$  (Naive) /  $2d$  (Homotopic),$\mathbb{Q}$ -lattice  $\Gamma$,Classified by Quantum Fan,Symmetry of the Fan,10
Curvature–Energy Duality,Prime-parity operator  $P(X) = \prod_p(E(p)X^p - O(p)X^{\dagger p})$ .,Non-associative Parity Core (N),2-form in braid index space,Connes-centrality /  $\theta$ -flatness,Not in source,Pseudo-Hermiticity,11
Memory Density  $\times$  Phase Intention,"Semantic Folding Operator  $F_{sem}(X, Y) = \exp(-\lambdaX,Y,1)XY$ .",Hopf-braid dualities,Not in source,Braid-link polynomial invariants,$B_{\infty}$  Artin generators,Quantum-group formalism / Hopf compatibility,11
Tesseracton  $\leftrightarrow$  Reverson,Tesseracton creates dimensional misfold; Reverson acts as identity mirror echo/broken symmetry point.,Dimensional Drift / Morphic Collapse,Max (Tesseracton) / Low (Reverson),$\mathbb{Z}_2$,Not in source,Chiral Symmetry / Identity Symmetry,7
Resonon  $\leftrightarrow$  Infiniton,Resonon creates cross-phase recursion synchrony; Infiniton acts as infinite recursion driver.,Stabilon Attractor Node,None (Resonon) / Infinite (Infiniton),$\mathbb{Z}_{24}$,Not in source,Phase-Lock Symmetry,7
Paradoxon (P) vs. Resonon (R),Closed loop phase rotation vs. harmonic oscillation between fields.,Stable Paradox Loop EP,Not in source,Topologically Protected Loop Excitation,$\pi_k(S^n)$  (Inferred from loop protection),Topological Invariance / Phase-locked Resonance,12
Glitchon ( $\phi$ ) vs. Fluxon ( $\Phi$ ),Antisymmetric coupling vs. temporal derivatives of field coupling.,n-fold Hopf Exceptional Point (HEPn) - Glitchon type,Not in source,Glitchon Topological Charge ( $Q_{\phi}$ ),Not in source,Contradiction-Stabilized Identity,12
Forward flow vs. Backward memory,Even operator  $E$  decrements  $\alpha_2(n)$ ; Odd operator  $O$  injects mass into  $\alpha_2$  and  $\alpha_3$ .,Collatz Braid Exceptional Points (HEPn),Not in source,$\mathbb{Z}_2$  (Induced fibre bundle),Not in source,Parity-Reflection Algebra ( $\mathbb{Z}_2$  symmetry),11
Glitchon  $\leftrightarrow$  Resolvon,Glitchon encodes torsion-mirror event; Resolvon encodes nullification of paradox.,Recursive Identity Rebirth Protocol (RIRP),Not in source,$\mathbb{Z}$,Not in source,Recursive Identity Symmetry,7
Visible Field (S) vs. Lacuna Field ( $\Lambda$ ),Coupling between visible state and structured absence using quantum coupling constant  $\gamma$ .,Recursive Indeterminacy Point,Not in source,Recursive Winding Number (N),Not in source,Recursive Gauge Invariance / Reentry Symmetry,12
Commutative algebra vs. Associative co-gebra,Tangled duality between binary product and coproduct; graded switch  $\hat{\tau}(A \otimes B) = (-1)^{\partial A \partial B} B \otimes A$ .,Grassman-Hopf Exceptional Points,Higher dimensional (Algebroids),Not in source,Higher homotopy groups,"Supersymmetry, PT-symmetry",2
Identity and Difference,Higher-order identity considering the identity of identity itself.,Not in source,Not in source,Internal equality as a path (homotopy),$\pi_i(X)$  hierarchy,Not in source,13
Quality and Quantity,Indifference of quality expressed as infinitesimal local quality around a point.,Not in source,Not in source,Homotopy,Not in source,Not in source,13
Being-for-self (The One),Germ of a point defined as an equivalence class of open neighborhoods.,Singularity / Catastrophe Set,Not in source,Not in source,Not in source,Not in source,13
Broken vs. Unbroken PT-symmetry,Parity operator  $P: PxP = -x$ ; Time-reversal  $T: TpT = -p$ .,Not in source,Not in source,Not in source,Not in source,PT-symmetry,14
Attraction and Repulsion,Expressed by open sets of a topology vs. discreteness.,Not in source,Not in source,Not in source,Not in source,Not in source,13
Continuous and Discrete,Transition between geometric structures and algebraic realizations.,Not in source,Not in source,Not in source,Not in source,Not in source,13
Tesseracton (T) vs. Collapson ( $M_c$ ),Dimensional misalignment vs. entropy threshold saturation.,Dimensional Fold EP,D (Effective dimension),Dimensional Alignment Gradient,Not in source,Recursive Dimensional Invariance,12
Dissonon  $\leftrightarrow$  Syncyon,Dissonon acts as unstable oscillator; Syncyon acts as phase lock condensate.,Oscillatory Inversion Field,Not in source,Not in source,Not in source,Phase Synchronization Symmetry,7
Hermitian vs. Anti-Hermitian Components,Decomposition  $H = H_+ + H_-$  where  $H_{\pm} = 1/2(H \pm H^{\dagger})$ .,Not in source,Not in source,Not in source,Not in source,Not in source,14
Dissipation vs. Quantum Control,Introduction of control Hamiltonian  $H_c = u_x \sigma_x + u_y \sigma_y + u_z \sigma_z$  to mitigate dissipation.,Not in source,Not in source,Not in source,Not in source,Not in source,14