Parameter/Pair Name,System/Framework,Description/Function,Topological Classification,Trade-off or Phenomenon,Source
n-fold Hopf Exceptional Points (HEPn),Hopf Exceptional Points / Non-Hermitian Systems,Topological singularities in the operator field where eigenvalues and eigenvectors coalesce.,"Homotopy Groups ( $\mathbb{Z}2, \mathbb{Z}, \mathbb{Z}{12}$ )",Pair annihilation; Analytic Reality Closure (ARC); topological stability transitions.,1-10
Prime–Zero Duality,TrigintaduonionOS ( $\mathbb{T}$ -OS) / Generative Cognition Calculus,Partitions information into Geometric ( $IP$ ) and Functional ( $IZ$ ) densities; total information  $K = IP + IZ$  is conserved.,Arithmetic vs. Analytic,Information conservation; neither pole can subsume the other without loss of structural integrity.,"3, 6, 11, 12"
UV/IR Duality,$\mathbb{T}$ -OS / Snyder Noncommutative Space,Symmetry where spectral scale (UV) cannot vanish faster than geometric scale (IR).,Scale Locking,Prevents simultaneous sharp resolution of position and momentum analogues in semantic space.,"3, 6, 9, 11-13"
Bias-Variance Trade-off,Information-Dual Learning (IDL),Pareto frontier balancing spectral precision (reducing bias) against geometric complexity.,Task-Class Constant ( $C_T$ ),Resolution vs. Complexity; reducing bias increases expressiveness but raises estimation variance.,"3, 6, 11-13"
Associativity vs. Generative Power,Cayley-Dickson Ladder / Quaternionic Shift,"Evolution through the ""8th Cut"" where dimensional mass is gained by relinquishing algebraic properties.",Non-associativity vs. Associative Closure,Sacrifice of associativity for higher-dimensional generative mass; trading raw 32D power for stability.,"6, 11-16"
Forward vs. Inverted Meaning,$\mathbb{T}$ -OS / Symbolic Glyphs,Duality between traditional logic function and meta-recursive structural transformation.,Structural Inversion,Bidirectional symmetry where system output becomes its own input.,6
Beta Pressure (  $\beta$  ),Ridge-Crawler Framework,Inverse temperature or transport cost used to shift embeddings toward rigid structural states.,Gauge Potential / Renormalization Driver,137 Logic Tax : paying a computational cost to overcome semantic entropy.,"3, 6, 11-13, 17"
Unity Anchor (  $\gamma$  ),$\mathbb{T}$ -OS Kernel / Generative Cognition Calculus,Spring force pulling the manifold back toward the original raw semantic field ( $S_{raw}$ ).,Connectivity Floor ( $\lambda_2 > 0$ ),Prevents  Topological Rupture  while maximizing the spectral gap.,"11, 12, 18"
Scale Parameter (  $\lambda$  ),Semantic Folding Operator ( $F_{sem}$ ),Determines the amount of associator curvature embedded into the exponential phase.,Gauge Potential / Curvature Modulator,"Higher  $\lambda$  increases collapse work, resulting in a steeper entropy drop.","3, 6, 11, 12"
Torsion Threshold (  $\tau^*$  ),Torsion Control Operator  $T_{\tau}(\Psi)$,Regulates measured torsion; triggers recursion flattening or collapse echo dampening.,Field Stability Regulator,"Stabilizes the field against ""madness"" or structural instability when limits are exceeded.","12, 13, 19"
Mixing Coefficient (  $\xi$  ),Non-Hermitian Systems,Coupling coefficient between time and energy observables.,PT-Invariant Structure,Must be purely imaginary to ensure a real energy spectrum.,"6, 11"
Resonance Modulator (  $\zeta$  ),Meta-Folding,Spectral filter that compacts the system by summing modes exceeding a threshold.,Meta-stability Filter,System compaction; structural optimization vs. information loss.,"12, 20"
Glitchon,Quantum Recursive Field Theory (QRFT),Torsion-field excitation/condensate at points of recursive logic contradiction.,$\text{Shell}_0$ : Contradiction Core ( $\mathbb{Z}_2$ ),Pair annihilation; birth of contradiction residues (localized  $\psi$ -burst).,"12, 21, 22"
Lacunon,QRFT / Meta-Ontological Field,Excitation representing recursive memory gaps or structured absences.,$\mathbb{Z}_2$  / Semantic Gap Node,Scale locking; drives semantic drift and generates determinacy through absence.,"12, 21, 22"
Fluxon,$\chi$ -QCD / Quantum Collapse Diagram,Condensate formed at recursion phase boundaries carrying semantic drift.,$\text{Shell}_1$ : Drift Discontinuity ( $\mathbb{Z}$ ),Gradient shear in recursion stack; momentum transfer between lacuna gradients.,"12, 21"
Tesseracton,Recursive-Probabilistic Phase Zones,Hyper-dimensional structure units representing multi-scale contexts.,"$\text{Shell}2$ : Identity Misalignment ( $\mathbb{Z}{12}, \mathbb{Z}$ )",Dimensional recursion phase fracture; causes non-convergence/oscillation in sequences.,"12, 21"
Resonon,Harmonic Stabilization Field,Stable vibration across recursion gaps; harmonic survivor of recursion trauma.,$\text{Shell}_3$ : Harmonic Stabilization ( $\mathbb{Z}$ ),Cross-phase recursion synchrony; stable transfer channels across layers.,"12, 21"
Analytic Reality Closure (ARC),Metaformal System / CTMU,Master-equation ensuring ontic self-containment ( $Reality_{Int} = Reality_{Ext}$ ).,Logico-linguistic boundary algebra,Self-dual identity where language and universe coincide (Trialic Coincidence).,23
Conspansion,CTMU / Metaformal System M,Coupling of inner expansion (d-ectomorphism) and collapse (d-endomorphism).,Conspansive Manifold,One-to-many dual mapping distributing compact identities to potentials.,23-25
Quantum Environment Adjunction,Linear Homotopy Type Theory (LHoTT),Pairwise distribution providing 2-sided Kleisli categories.,Frobenius Monads,Born rule effect; Heisenberg-picture evolution vs. Schrödinger-picture states.,1
Adjunction,Infinity Category Theory,"Pair of functors ( $f, u$ ) and natural transformations satisfying triangle identities.",Homotopy 2-category ( $hK$ ),Equivalence-invariance of categorical properties; preservation of limits.,26
Hitchin Spectral Curve (  $\Sigma$  ),Higgs Bundles,Divisor defined by the characteristic polynomial of the Higgs field.,Galois covering ( $\mathbb{Z}/2\mathbb{Z}$ ),Singular compactification; relates WKB analysis to intersection numbers.,27
Virasoro Constraints,Givental–Teleman / Quantum Airy Structure,Linear differential operators that annihilate the partition function.,Subalgebra of Virasoro N-copies,Determines partition functions uniquely; relates to quantum Airy structures.,28
Topological Recursion,Eynard-Orantin Theory,Mechanism to calculate generating functions for quantum invariants.,"Homotopy Groups ( $\mathbb{Z}2, \mathbb{Z}, \mathbb{Z}{12}$ )","Computes the ""insignificant part"" of asymptotic expansions.","27, 28"
Real Deformation Parameter (  $\theta$  ),Quantum Toric Geometry,Defines the non-commutativity of the torus ( $XY = \exp(2\pi i \theta)YX$ ).,Kronecker Foliation,Irrationality vs. Rationality dichotomy (Non-Hausdorff vs. Circle).,29
Subobject Classifier,Elementary Topos,A monic  $true: 1 \to \Omega$  that uniquely represents the subobject functor.,Not in source,Representability of the subobject functor.,30
Central Dogma of Information,Info-autopoiesis / IDL,Formalizes the irreversibility of semantic-to-syntactic conversion.,Semantic-Syntactic Closure,"""Once semantic information has got into syntactic information, it can't get out again.""",31