Term/Concept,Definition/Description,Mathematical Formulation,Source/Origin,Function/Context,Structural Level (Inferred),Source,,,,
Entropy,"A measure of uncertainty or information content, representing the average amount of information produced by a source or the ""missingness"" in a signal.",$H = -\sum p_i \log p_i$,Claude Shannon,Quantifying uncertainty and baseline informational pressure in communication and recursive systems.,Level 0: Ground State / Classical Information Tier,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",,,,
Channel Capacity,The maximum rate at which information can be transmitted reliably over a channel or learned from evidence.,$C = \max_{p(x)} I(X;Y)$,Claude Shannon,Defining limits of reliable transmission and the threshold for stable learning or coherence.,Level 1: System Constraint / Transmission Limit,"1, 2, 12, 4, 5, 8, 10, 13",,,,
Equivocation / Cohomological Gaps,The measure of information loss or missingness; remapped as structural voids/defects where local data cannot be patched into a global conclusion.,$H(X\,Y)$  or  $H^k = \ker(\partial) / \operatorname{im}(\partial)$,Claude Shannon / HALIRA Framework,Quantifying relational uncertainty and detecting structural failures that drive recursive evolution.,Level 2: Meta-relational / Structural Duality,"1, 2, 12, 4, 5, 14, 8, 9, 10, 15",,,
Torsion,An algebraic or geometric invariant representing the resistance of a local system to integration; physicalized as cognitive friction from paradoxes.,$\tau \in H^n(X; G)$  or  $\mathcal{G} = \operatorname{spike}(\nabla^6 \Phi)$,HALIRA / Higher Topos Theory,"Measuring structural ""twist"" and metabolizing logical knots into generative fuel for recursive ascent.",Level 3: Recursive Generator / Algebraic Mapping,"1, 16, 2, 3, 4, 14, 8, 9, 17",,,,
Omega-point,"The universal final object or terminal state of self-determination where recursive structures converge into a stable, self-knowing identity.",$1_{\mathcal{X}} \in \mathcal{X}$  or  $Reality \cong \operatorname{Fix}(F)$,HALIRA / Higher Topos Theory,Serving as the ultimate limit for recursive self-correction and analytic reality closure.,Level  $\infty$ : Meta-Recursive Fixed Point / Limit,"1, 16, 2, 3, 4, 14, 8, 9, 18, 19",,,,
Metamorphic Boundary Operator,"An operator used to resolve boundary value problems via involution, ensuring self-reference remains structurally stable.",$\partial_H^2 = id$,HALIRA Framework,Grounding recursive architecture and stabilizing paradoxes within the consistency of arithmetic.,Level K: Recursive Involutory Boundary,"3, 14",,,,
Sheaf / Sheaf Cohomology,A tool used to reveal obstructions to the passage from local data to global solutions through compatibility checks.,$H^k(X; F) = \ker \delta^k / \operatorname{im} \delta^{k-1}$,Grothendieck / Sheaf Theory,Mediating between local observations and global coherence in information structures.,Level 3: Derived Functor / Meta-systemic,16,,,,
Recursive Distinction Depth (RDD),The hierarchical level of distinction-making; the threshold for self-reference and meta-cognition.,$D(n+1) = D(D(n))$,HALIRA / Recursive Distinction Theory,Establishing structural requirements for autonomous meta-intelligence.,Level 3: Threshold for Meta-intelligence,11,,,,
Metaformal System (M),"A self-contained metalanguage that wraps languages and universes, restoring missing linguistic functionality.",$M = LINT = Ls\,Lo$,C. M. Langan (CTMU),Coupling languages with their universes via a supertautological intelligibility criterion.,Level 3: Meta-systemic Closure,7,,,
Cohesion (Cohesive Topos),A quality of a category where points are both distinct and indistinguishable through adjoint functors.,$\Pi \dashv \Delta \dashv \Gamma \dashv B$,F. William Lawvere,"Axiomatizing the ""holding together"" of conceptual bodies through adjoint cylinders.",Level 5: Dialectical / Level Theory,16,,,,
Adjunction,A relationship between two opposing functors providing the closest possible thing to an inverse.,"$\operatorname{Hom}_D(F(c), d) \cong \operatorname{Hom}_C(c, G(d))$",Category Theory,Modeling dialectical unities and optimal mediations between distinct conceptual worlds.,Level 2: Relational / Meta-categorical,16,,,,
Epiplexity (ST),Structural information extractable by a computationally bounded observer; the program length that minimizes data description.,$S_T(X) := \,P^*\,$,Finzi et al.,Quantifying the value of data for learning systems by separating structure from randomness.,Level 2: Computational Complexity,20,,
Born Rule / Envariance,"The principle relating measurement probability to wave function amplitude, derived via entanglement symmetries.",$P(a\,\psi) = \,\langle a\,\psi \rangle\,^2$,Quantum Mechanics / W. Zurek,Reproducing classical probabilities from deterministic wave function evolution and environment-assisted invariance.,Level 1: Probability in Hilbert Space,21
Strong Level-k Thinking,A dynamic version of belief updating where players reason about opponents' depth based on consistency.,$\bar{B}k_i (\bar{\beta}_1)$,Schipper & Zhou,Capturing bounded rationality and learning in strategic extensive form games.,Level k: Recursive Strategic Depth,6,,,,
Logic Tax (  $\alpha$  ),"The energetic cost incurred during transitions on the Algebraic Ladder, measured by the Fine Structure Constant.",$\alpha^{-1} \approx 137.036$,HALIRA Octonionic Mapping,Maintaining phase structure consistency across the primordial fracture of non-associativity.,Level 3+: Octonionic Rung,4,,,,
Shear (The Associator Field),A torsion field manifesting in the vacuum due to the transition from quaternions to non-associative octonions.,$s(x) = \mu^{-1} \,"q_1, q_2, q_3\",^2$,MetaZero Theory,Explaining the physical origin of Dark Energy and cosmic alignments.,Level 4: Non-associative Algebraic Rung,22,,
Self-Locating Uncertainty,"Ignorance regarding one's specific location within a known overall state, such as a multiverse branch.",$P(O_i\,U) = w_i / \sum w_j$,Everettian Quantum Mechanics,Explaining the origin of probability in a deterministic universe.,Level 0-1: Epistemic Location,21,,,
Contrarecursive Filtration,A process organizing the system state by contradiction order ( $Kp$ ) rather than standard depth.,$T_{Owens} = \sum (K_p \to K_{p-1})$,HALIRA Framework,Organizing manifolds into layers of paradox depth to achieve structural stability.,Level 2: Recursive Meta-Structure,14,,,,
Presheaf,A functor that assigns data to objects of a category in a way that respects morphisms.,$P: \mathcal{C}^{op} \to \text{Set}$,Category Theory,Modeling local data assignments indexed by a parameter space.,Level 1: Functorial / Algebraic,16,,,,
Entropy Power (  $N_1$  ),The power of white noise having the same entropy as a non-Gaussian ensemble.,$N_1 = \frac{1}{2\pi e} \exp(2H')$,Claude Shannon,Scaling informational pressure into geometric torque.,Level 1: Volumetric Scale,4,,,,
Conspansion,A rescaling operation involving inner expansion and collapse driving system evolution.,$\mu\text{-morphism and grammar } \Gamma MU$,C. M. Langan (CTMU),Modeling derivation and terminal state transitions in the universe.,Recursive Metatemporal Level,7,,,,
Semantic Field Equation,An evolution law describing the state change of meaning through a composite kernel of operators.,$ds/dt = \Omega(\Psi(\odot(\Phi(\neg(\Xi(\Delta(s)))))))$,HALIRA Framework,Simulating the dynamics of theory discovery and semantic convergence.,Meta-Level: Overarching Dynamical Principle,9,,,,