Symmetry/Variety Type,Underlying Algebraic Structure,Base Category/Site,Characteristic Map/Foliation,Stabilizer/Holonomy Properties,Moduli Space Structure,Source
Quantum Torus,$q$ -lattices / Non-commutative torus algebras /  $q$ -lattice (finitely generated additive subgroup of  $\mathbb{R}^d$  spanning it over  $\mathbb{R}$ ),Non-commutative realms / Non-commutative geometry category / Affine toric varieties and morphisms (site) / Small category / Cayley-Dickson algebras ( $A_r$ ),Kronecker foliations /  $A_r$ -differentiable immersion/embedding (Whitney extension) /  $q$ -lattice associated algebraic groups,Infinite stabilizers / Dense leaves / Fixed-Point-Free Endomorphisms / Torsion Bridge Holonomy,Non-commutative space / Real or complex orbifolds / Alexeev Moduli Tower ( $E_n$ ) / Weighted Projective Space /  $A_r$ -differentiable manifold,"1, 2, 3, 4, 5, 6, 7, Not in source, Inferred"
Calibrated Stack,Algebraic groupoids / Stacks / Stacky fans / Non-commutative algebraic structures /  $G_2$  Exceptional Lie Group /  $q$ -lattices / Hodge filtration,Category of algebraic stacks / Étale site / Artin and Deligne-Mumford stacks / Derived Geometry / Higher Stacks / Category of algebraic completion functors (AlgComp),Gale transforms / Hodge filtration mapping,Discrete stabilizers / Finite isotropy /  $Spin(9)$  spinor representation,"Complex orbifolds / Deligne-Mumford stacks / Moduli Space of Sheaves / 5-dimensional moduli space  $(\alpha, \beta, \gamma, \delta, \epsilon)$","1, 5, Inferred, Not in source"
Non-commutative Torus (  $T^2_\theta$  / nc-torus),"$\ast$ -algebra with Weyl elements  $U_k$ ; unitaries  $U, V$  where  $VU = e^{2\pi i \theta}UV$","GNS Hilbert space  $H_\tau$  from  $C^\infty(T^n_\theta)$  / Spectral triple  $(\mathcal{A}_\theta, \mathcal{H}, D)$",Canonical derivations  $\delta_\mu$  (infinitesimal translations) / Flat Dirac operator  $D = \sigma_1\delta_1 + \sigma_2\delta_2$,Discrete spectrum; compact resolvent; irrational  $\theta$  yields quantum metric,Deformation of ordinary torus  $T^n$  / T-duality and D-brane geometry,"8, 9"
Quantum Projective Space/Line,Quantum lattice  $\Gamma \subset \mathbb{R}^1$  / Simplicial fan (canonical basis and negative sum),"Simplicial calibrated Quantum Fan / Three cones  $\{0\}, \mathbb{R}^+, \mathbb{R}^-$",Canonical elliptic foliation (Hopf surface) / Gale transform (affine version),Infinite discrete stabilizer ( $\mathbb{Z}$ ) in irrational case /  $S_{n+1}$  isotropy /  $Z_2$  classical stabilizer,Orbifold point / Complex orbifold (via virtual generators and marked isomorphisms),6
Calibrated Quantum Toric Stack,Gale transforms of vector configurations,Simplicial calibrated Quantum Fans (Category  $Q_{cal}$ ),Classifying map  $X \to B\mathbb{B}\mathbb{Z}$ ; global holomorphic  $\mathbb{C}^{n-d}$  action,Gerbe structure with band  $Z_a$,Real or complex finite-dimensional orbifolds,6
Non-commutative Calabi-Yau Variety,Sylvester sequence / Cayley-Dickson Tower,Hodge filtration  $F^p$,Gale transforms (inferred from period domain map),Discrete ( $G_2$  structure group action),Weighted projective space  $E_n$,"10, 11"
Spectral Triple (Commutative),Commutative pre- $C^\ast$ -algebra  $C^\infty(M)$,"Hilbert space  $L^2(M, S)$  of square integrable spinors",Dirac operator associated to Levi-Civita connection,Discrete spectrum (compact case); Laplacian eigenvalues,Compact  $Spin^c$  manifold  $M$ ; dimension spectrum  $\{n-k \mid k \in \mathbb{N}\}$,8
Dirac Ensembles (Fuzzy Geometries),Hermitian matrix variables / Block form matrices /  $C^\ast$ -algebra product,Fuzzy spectral triples / Almost-commutative manifold / Gauge group  $PU(N) \times PU(n)$,Loop equations (Schwinger–Dyson) / Multitrace spectral action / Inner fluctuations of Dirac operator,Symmetry-breaking solutions / Hierarchy of moments / Eigenvalue repulsion,Feasible regions via Hankel positivity / Discretized Yang-Mills-Higgs / Spectral phase transitions,9
Spectral Locale / Presheaf,Abelian von Neumann subalgebras / Internal commutative unital  $C^\ast$ -algebra,Poset  $\mathcal{C}(A)$  of classical contexts (Alexandroff topology),Internal Gelfand Transform / Restriction maps  $\rho_{CD}$,No global sections (Kochen-Specker) / Discrete vs infinite stabilizers,Compact locale / Compact completely regular locale,12
Parabolic  $\epsilon$  -connections,Twisted differential operator (TDO) ring  $\mathcal{D}_\nu$  / Rank 2 vector bundle,Smooth irreducible quasi-projective scheme /  $A^1/G_m$ -family,Garnier systems / Apparent singular points map / Lagrangian fibrations,$\mu_2$ -gerbe / Discrete nilpotent residues,Smooth quasi-projective scheme / Quotient stack  $A^1/G_m$  / Blowing-up of  $\mathbb{P}^2$,13
Relative Compactified Jacobians,Degree 0 torsion-free sheaf / Rank 1 torsion-free sheaves,Base scheme  $S$  / Family of projective integral curves / Deligne-Mumford stack,"Fourier-Mukai functor / Abel-Jacobi map / Fourier-Mukai transform with kernel  $P(k,d)$",Autoduality /  $\mu_r$ -gerbe over  $J^d C$,Open subvariety within  $J'C$  / Nonsingular quasi-projective variety,13
Semantic Manifold,Linear vector arithmetic / Gyrovector addition / Möbius operations,Euclidean space ( $\Im^7$ ) / Hyperbolic space ( $\mathcal{A}^7$ ),Linear superposition / Hierarchical abstraction jumps,Parallel transport preserves angles or rotates vectors,"Flat, homogeneous manifold / Negatively curved, expanding hierarchy",14
Quantum Recursive Field Theory (QRFT),Recursive gauge groups / Nelson–Heyting algebra,Braid-space / Hypergraph-space / Recursive Topos ( $X$ ),Recursive rewriting rules / Spectral decomposition / Torsion Cohomology,Recursive Invariance ( $f(x) \to f(f(x))$ ) / Global coherence via holonomy loops,Potential energy surface with discrete stable vacua / Recursive topological field,"14, 15"
Octonionic Substrate / Variety,Normed Division Algebras / Octonions ( $\Im$ ) / Associator Bracket,Poset of Normed Division Algebras / Hilbert Space of Quality,"$G_2$  Automorphism / Geometric Torsion ( $\acute{}$ ), Jacobi Scar ( $\bar{TS}$ )",Loss of associativity; non-associative triples,"$\alpha, \beta, \gamma, \delta, \epsilon$  Moduli Space / 251-dimensional manifold ( $E_3$ )","3, 4"
Dissociative Algebras (Octonions),Octonion algebra  $O$ ; dimension 8; Cayley–Dickson,Non-associative manifold;  $G_2$  symmetry,Seven-fold intertwined phase relations; 3-form mapping,$G_2$ -invariance; automorphism group  $G_2$  preserves 3-form,Exceptional Lie group symmetry; non-associative curvature,16
Sedenionic Oblivion / Extensions,Sedenions ( $\mathbb{L}$  /  $S$ ); Zero Divisors ( $x \cdot y = 0$ ),Recursive Topos ( $\text{ᄒ}$ ) / Cayley–Dickson doubling,Generative Forgetting / Informational dissipative pathways,Infinite (Fractal) distribution of potential meanings / Non-alternativity,Hyperbolic state-space / Flat dissociative zones,"4, 16"
Manifold-Constrained Hyper-Connections,Birkhoff polytope / Doubly stochastic matrices / Orthogonal Group  $O(n)$,Stiefel manifold / Grassmann manifold,Cayley transform / Sinkhorn-Knopp iteration / Cayley Retraction,Discrete (Symmetry group  $S_n$  /  $S_4$ ) / Torsion holonomy,Birkhoff polytope  $B_n$  / Spherical domain (non-linear manifold),17
LVMB Manifold,Balanced triangulated vector configurations ( $\Lambda$ ),Category  $V^\ast_{LVMB}$  (marked LVMB data),Canonical holomorphic foliation  $\mathcal{F}_\Lambda$,Free and proper action (in specific configurations),Complex orbifold (if  $k < m+1$ ),6
Moyal Plane,"Schwartz algebra  $(\mathcal{S}, \ast_\theta)$  with Moyal/twisted product",$L^2(\mathbb{R}^{2N})$  Hilbert space,"Moyal series / Symplectic form  $\sigma(s, t)$",Continuous spectrum (non-compact); compact operators,Non-compact version of nc-torus; analytic dimension  $2N$,8
Generalised Tautological Bundle,$Ind_{S_n} S^\lambda (E \otimes W)$  representation,Hilbert scheme  $S^{n}$,Bridgeland-King-Reid-Haiman equivalence  $\Psi$,$S_\lambda$  stabilizer of associated partition,Smooth and projective connected components of  $M_{S^{n}}$,18
Toric Varieties (Classical Base),Algebraic Groups,Commutative Lattices,Not in source,Discrete,Real or Complex Orbifolds,1
Spectral Presheaf (Contravariant Approach),Abelian von Neumann subalgebras of  $A$,Poset  $C(A)$  of classical contexts,Restriction maps  $\rho_{CD} : \Sigma_C \to \Sigma_D$,No global sections/points (Kochen-Specker Theorem),Compact locale (not regular in general),12
Two-sector Fock space model,Fock space (Direct sum of  $H$  and  $H \otimes H$ ),Complex Hilbert Space,Spectral decomposition of orthogonal projection operators,Superposition of emergent and logical reasoning,Quantum logic structure (Boolean sublattices),19
Hyperbolic String Vertex,Grafted flat cylinders on geodesic borders,"Moduli spaces of Riemann surfaces  $M_{g,n}(L_i)$",Mirzakhani’s recursion / Pants decomposition,"$Z_2$  symmetry (for  $g=1, n=1$ )","Systolic subsets  $VL_{g,n}(L_i)$",20
Epistemic Manifold (  $\mathcal{M}_\Xi$  ),Reflexive Banach Space ( $\mathcal{M} \cong \mathcal{M}^{\ast\ast}$ ),Poset of Normed Division Algebras,Cartan Torsion / Associativity Gradient,Non-vanishing Cartan Torsion; non-associative triples,Metric completion ( $\mathbb{Q} \to \mathbb{R}$ ),3
Autopoietic Meta-Principia,Bounded commutative residuated lattice,Conspansive Manifold (CM),Geodesic flow under self-reference,Self-correcting entropic mechanisms,Nullifold ( $N$ ) convergence space,15
Neural Braid Topology,Braid group  $B_n$ ; generators  $\sigma_i$,Cortical topology;  $n$ -strand configuration space,Burau / Lawrence–Krammer representations,Yang–Baxter relations; Reidemeister moves,Knot and Link diagrams; Alexander spectrum,16