Theoretical Framework,Primary Domain,Key Constructs,Target Reality/Geometry,Modelling Approach,Applications/Implications,Source
Free Energy Principle (FEP+) Model of General Intelligence,Cognitive Science / Artificial Intelligence,"Markov blankets, variational free energy ( $F^*$ ), expected free energy ( $E(F)$ ), active inference, self-organising criticality ( $\Phi$ ), metastability ( $\Theta$ ), meta-priors, generative models, and 10 cognitive faculties (Perception, Generation, Attention, Learning, Memory, Reasoning, Metacognition, Executive functions, Problem solving, Social cognition)","4D Reality State Space ( $\Omega$ ) encompassing Objective-Subjective, Private-Public, Variational-Invariant, and Present Moment-Spatiotemporally Extended dimensions; Human Thought Structure","Bayesian Inference, formalised through free energy functionals, coupled oscillator equations of motion, and two-sector Fock space modeling",Intelligence augmentation; developing cognitive interventions; understanding intelligent cognition and decision-making; AGI measurement and universal assistants; explaining guppy effect and borderline contradictions,1-3
Quantum Toric Geometry / Melting Crystal Model,Mathematical Physics / Noncommutative Geometry,"ADHM data, plane partitions (3D Young diagrams), noncommutative instantons, toric web diagrams, deformed monads, partition functions, equivariant cohomology, and elliptic spectra",Noncommutative Toric Varieties / Nonconnective spectral Deligne-Mumford stacks / Quantized Spacetime,"Cohomological Gauge Theory,  $E_{\infty}$ -rings, Statistical Mechanics, Enumerative Combinatorics, and Topological Recursion",Spacetime discretization (via toric varieties); quantization of spacetime geometry at the Planck scale; D-brane bound state enumeration; characterization of elliptic cohomology theories,4-6
Free Energy Principle (FEP+) / Minimalist Model of Syntax,Cognitive Science / Linguistics,"Markov blankets (applied to workspaces), Merge operation, Hopf algebras, workspaces, syntactic features, lexical items, and traces",4D Reality State Space / Non-planar binary rooted trees (I-language hierarchical structures),Bayesian Inference / Algebraic Renormalization (Birkhoff factorization) and free symmetric Merge,Intelligence augmentation; understanding the syntax-semantics interface; resolving controversies in large language models,7
Quantum Toric Geometry / Algebraic Renormalization,Mathematical Physics,"ADHM data, Feynman integrals, Rota-Baxter algebras, Hopf algebra coproducts, and Feynman graphs",Noncommutative Toric Varieties / Spacetime discretization (via extraction of finite values from divergent integrals),Cohomological Gauge Theory / Birkhoff factorization and quantum field theory,Spacetime discretization; extraction of meaningful physical values; modelling fundamental physical interactions,7
Free Energy Principle (FEP+) / Autopoiesis Theory,Cognitive Science / Organizational Learning,"Markov blankets (implicit in operational closure), self-reproduction, decision premises, routines, and superstitious learning",Self-produced environment (Amorphous / Alternative External Environment),Conceptual Induction and Deduction / Bayesian Inference (implicit in OL/SL patterns),Organizational survival; knowledge reproduction; management of flawed learning processes; intelligence augmentation via constructive SL,8
Crystal Melting / Paracrystal Theory,Condensed Matter Physics / Materials Science,"Long-range order without periodicity, phason degrees of freedom, and lattice convolutions",Quasicrystalline Patterns / Aperiodic Spacetimes,Fourier–Stieltjes transforms / Swift-Hohenberg extension (Lifshitz-Petrich model),Photonic metamaterials; controlling self-assembly of nanostructures,"5, 9"
AI Topos Theory,Cognitive Science / Artificial Intelligence,"Sheaf theory, adjoint functors, objects, morphisms, and functorial mappings",Self-organizing manifolds of meaning; higher-dimensional logical subspaces,"Topos-theoretic representations bridging symbolic, neural, and geometric AI",Automated theorem proving; AI-driven mathematical discovery; unified hybrid architectures,10
Holographic AI Framework,Mathematical Physics / AI Theory,"Holographic polyfractals, dimensional reduction, entanglement entropy, and tensor networks",AdS/CFT Duality analogs (bulk space vs. boundary space),Category-theoretic embeddings and holographic information flow,Self-generating AI theorems and autonomous mathematical theorization,10
Long CoT (Chain-of-Thought) Molecular Structure,Cognitive Science / Large Language Models,"Deep-Reasoning (covalent-like bonds), Self-Reflection (hydrogen-bond-like), Self-Exploration (van der Waals-like forces), and semantic isomers",3D Semantic State Space / Logical Folding Topology,"Gibbs-Boltzmann Distribution, Attention Energy Profiles, and Distribution-Transfer-Graph (Mole-Syn)",Intelligence augmentation through stable Long CoT reasoning; enhancement of RL stability; protection against distillation,11
Spectral Noncommutative Geometry / Strictly Tangled Spectral Triples ( $ST^2$ ),Mathematical Physics / Noncommutative Geometry,"Tangled spectral triples, Rockland complexes, and BGG-complexes",Noncommutative Toric Varieties / Parabolic Geometries / Filtered Manifolds,Tropical Combinatorics / Cohomological Gauge Theory / Rockland Operators,Spacetime discretization; Index theory of hypoelliptic operators,12
Einstein-Cartan Theory,Mathematical Physics,"Torsion tensor, fermionic spin current, four-fermion interaction, Christoffel symbols, and statistical (Hadamard) 2-points function","Generally curved space-times, homogeneous and isotropic (FLRW) universe, and spacetime discretization via torsion scale","Schwinger-Keldysh (in-in) formalism, 2PI effective action, and one-loop perturbative expansion",Screening of cosmological singularities; big bounce cosmology; preventing big crunch; semiclassical treatment of collapsing stars,1
Spectral Presheaf / Topos-theoretic Quantum Mechanics,Mathematical Physics / Quantum Logic,"Stone spectrum, daseinisation (inner/outer), Akchurin algebras, and complete orthocomplemented lattices",Topos-based State Space / Quantum Mechanical System Structure / Lorentzian Spacetime causally closed sets,"Category-Theoretic Topos Theory, Vakarelov’s logic of lattice negation, Heyting and Brouwer algebra structures",Unifying quantum logic and general relativity; formalization of paraconsistent quantum theory,13
Noncommutative Geometry / Twisted Hilbert Scales,Mathematical Physics,"Twisted Fourier modes (half-integer), Fredholm operators, zeta-regularized determinants, and spectral flow",Twisted Spinor Boundary Conditions / Non-orientable Manifolds / Möbius-type spaces,"Unitary Twist Operators, Frame-Theoretic Functional Analysis, and Operator-Theoretic Hilbert Scales",Spacetime discretization insights; solving antiperiodic boundary value problems; spectral asymmetry analysis,14
Dirac Ensembles,Mathematical Physics / Noncommutative Geometry,"Spectral triples, Dirac operators, and Hankel moment matrices",Fuzzy Manifolds / Random Metric Spaces,Random Matrix Theory / Bootstrap Methods,Quantization of geometry; Euclidean quantum gravity; Standard Model reconstruction,15
Spectral Action Principle,Mathematical Physics / High-Energy Physics,"Almost-commutative geometry, Seeley-DeWitt invariants, and heat kernel expansion",Riemannian Spin Manifolds / Noncommutative internal space,Semiclassical asymptotic expansion,Standard Model unification; early-universe cosmology (inflation),15
Information Geometry of Non-Hermitian Hamiltonians,Quantum Mechanics,"Fisher-Rao metric, PT-symmetry, Exceptional points, and Lindblad master equation",Riemannian manifold of coupling constants; statistical manifold,Differential geometry applied to non-Hermitian systems and dissipative processes,Enhancing precision of quantum metrological tasks; parameter estimation,16
Distributed Quantum Gaussian Process (DQGP),Machine Learning / Multi-agent Systems,"Quantum kernels, entanglement, superposition, measurements, and parameterized quantum circuits",Exponentially large Hilbert space,Distributed consensus Riemannian ADMM (DR-ADMM) optimization,Scalable probabilistic modeling on hybrid systems; performance in non-stationary fields,17
2-spinor formalism of General Relativity,Mathematical Physics / Gravitational Theory,Curvature spinors (Ricci spinor and Weyl conformal spinor) and Infeld-van der Waerden symbols,Locally flat coordinates on pseudo-Riemannian manifolds; Minkowski spacetime,Transformation of tensors into spinors with 4 spinor indices; rank-2 4x4 tensor representation,Calculation of gravitational effects as combined rotational effects; quaternion form of differential Bianchi identity,18
Sedon Algebra,Mathematical Physics / Representation Theory,"Sedenion basis, quaternion basis direct products, stensor, and svector",16 dimensional noncommutative and nonassociative algebraic structure,Direct product of left-handed and right-handed quaternion bases,Representing curvature spinors for general gravitational fields; analysis of spatial-handedness in gravity,18
Semantic Differential / LLM Embedding Structure,Psychology / NLP,"Evaluation, Potency, Activity dimensions; antonym pairs; and token embeddings",Low-dimensional (3D) subspace within high-dimensional embedding matrices,Principal Components Analysis (PCA) and linear projections on feature directions,Intelligence augmentation/steering; predicting off-target effects in feature interventions,19